obs,page_num,survey_round,date,row,column,resident_transient,location,code,count,cafi_size_mm,family,genus,species,notes,obs_numeric,date_numeric,resident_transient_numeric,location_numeric,code_numeric,count_numeric,family_numeric,genus_numeric,species_numeric,notes_numeric
JC,1.0,1.0,2019-12-09,1,1,resident,coral,DAAR,1,3.0,,,,,,,,,,1.0,,,,
JC,1.0,1.0,2019-12-09,1,1,resident,coral,DAAR,1,3.0,,,,,,,,,,1.0,,,,
JC,1.0,1.0,2019-12-09,1,1,resident,coral,DAAR,1,5.0,,,,,,,,,,1.0,,,,
JC,1.0,1.0,2019-12-09,1,1,resident,coral,DAAR,1,4.0,,,,,,,,,,1.0,,,,
JC,1.0,1.0,2019-12-09,1,1,resident,coral,DAAR,1,4.0,,,,,,,,,,1.0,,,,
JC,1.0,1.0,2019-12-09,1,1,resident,coral,DAAR,1,5.0,,,,,,,,,,1.0,,,,
JC,1.0,1.0,2019-12-09,1,1,resident,coral,HATR,1,3.0,,,,,,,,,,1.0,,,,
JC,1.0,1.0,2019-12-09,1,1,resident,coral,HATR,1,4.0,,,,,,,,,,1.0,,,,
JC,1.0,1.0,2019-12-09,1,1,resident,coral,HATR,1,5.0,,,,,,,,,,1.0,,,,
JC,1.0,1.0,2019-12-09,1,1,transient,sand,HATR,1,4.0,,,,,,,,,,1.0,,,,
JC,1.0,1.0,2019-12-09,1,1,resident,coral,STNI,1,3.0,,,,,,,,,,1.0,,,,
JC,1.0,1.0,2019-12-09,1,1,resident,coral,STNI,1,4.0,,,,,,,,,,1.0,,,,
JC,1.0,1.0,2019-12-09,1,1,resident,coral,STNI,1,3.0,,,,,,,,,,1.0,,,,
JC,1.0,1.0,2019-12-09,1,1,resident,coral,STNI,1,4.0,,,,,,,,,,1.0,,,,
JC,1.0,1.0,2019-12-09,1,1,resident,sand,stripe_goby,1,2.0,,,,,,,,,,1.0,,,,
JC,1.0,1.0,2019-12-09,1,1,resident,sand,stripe_goby,1,4.0,,,,,,,,,,1.0,,,,
JC,1.0,1.0,2019-12-09,1,1,resident,coral,NESA,1,3.0,holocentridae,neoniphon,sammara,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,block,HATR,1,5.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,block,HATR,1,7.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,transient,coral,CHCI,1,5.5,chaetodontidae,chaetodon,citrinella,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,DAAR,1,1.0,"Only 13 sized, 15 observed, 1 and 2 added",,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,DAAR,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,DAAR,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,DAAR,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,DAAR,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,DAAR,1,2.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,DAAR,1,2.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,DAAR,1,2.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,DAAR,1,2.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,DAAR,1,2.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,DAAR,1,2.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,DAAR,1,4.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,DAAR,1,3.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,DAAR,1,3.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,DAAR,1,3.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,CHVI,1,1.0,pomacentridae,chromis,viridis,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,CHVI,1,2.0,pomacentridae,chromis,viridis,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,CHVI,1,2.0,pomacentridae,chromis,viridis,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,CHVI,1,2.0,pomacentridae,chromis,viridis,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,CHVI,1,2.0,pomacentridae,chromis,viridis,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,CHVI,1,2.0,pomacentridae,chromis,viridis,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,CHVI,1,2.0,pomacentridae,chromis,viridis,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,CHVI,1,2.0,pomacentridae,chromis,viridis,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,CHVI,1,2.0,pomacentridae,chromis,viridis,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,CHVI,1,2.0,pomacentridae,chromis,viridis,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,CHVI,1,2.0,pomacentridae,chromis,viridis,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,CHVI,1,3.0,pomacentridae,chromis,viridis,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,CHVI,1,3.0,pomacentridae,chromis,viridis,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,CHVI,1,3.0,pomacentridae,chromis,viridis,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,CHVI,1,3.0,pomacentridae,chromis,viridis,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,CHVI,1,3.0,pomacentridae,chromis,viridis,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,sand,stripe_goby,1,3.0,pomacentridae,chromis,viridis,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,sand,stripe_goby,1,5.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,sand,stripe_goby,1,6.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,STNI,1,2.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,STNI,1,4.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,transient,sand,HATR,1,8.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,sand,goby_no_stripe,1,3.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,CHAT,1,3.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,DAFL,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,DAFL,1,2.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,DAFL,1,2.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,DAFL,1,3.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,DAFL,1,3.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,DAFL,1,3.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,DAFL,1,3.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,DAFL,1,4.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,DAFL,1,4.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,12,resident,coral,DAFL,1,4.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,13,transient,sand,goatfish_w_spot,1,30.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,13,transient,coral,ACTR,1,5.0,,,,"large upside down structure nearby, lots of resident fishes",,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,13,resident,sand,stripe_goby,1,4.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,13,transient,sand,unk_wrasse_1,1,6.0,,,,"brown body, stripes and yellow head (JC has video)",,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,13,transient,sand,HATR,1,7.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,13,transient,sand,HATR,1,9.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,13,transient,sand,HATR,1,4.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,13,transient,sand,HATR,1,12.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,13,resident,block,HATR,1,3.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,13,resident,block,HATR,1,4.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,13,resident,block,HATR,1,5.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,13,resident,sand,HATR,1,4.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,13,resident,sand,HATR,1,4.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,13,resident,sand,HATR,1,6.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,14,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,14,resident,coral,CHVI,1,2.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,14,resident,coral,CHVI,1,2.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,14,resident,coral,CHVI,1,2.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,14,resident,coral,DAFL,1,3.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,14,resident,coral,DAFL,1,3.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,14,resident,coral,DAAR,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,14,resident,coral,DAAR,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,14,resident,coral,DAAR,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,14,resident,coral,DAAR,1,2.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,14,resident,coral,DAAR,1,2.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,14,resident,coral,DAAR,1,2.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,14,resident,coral,DAAR,1,2.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,14,resident,coral,DAAR,1,2.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,14,resident,coral,DAAR,1,2.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,14,resident,coral,DAAR,1,2.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,14,resident,coral,DAAR,1,2.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,14,resident,coral,DAAR,1,3.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,14,resident,coral,DAAR,1,3.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,14,resident,coral,DAAR,1,3.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,14,resident,coral,DAAR,1,3.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,14,resident,block,CHSO,1,1.0,scaridae,chlorurus,sordidus,listed as juvi_striped_parrot,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,14,resident,block,CHSO,1,2.0,scaridae,chlorurus,sordidus,listed as juvi_striped_parrot,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,14,resident,sand,shrimp_goby,1,4.0,,,,listed as sand_goby_w_blotches,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,block,CHSO,1,4.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,block,CHAT,1,2.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,block,CHAT,1,2.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,block,CHAT,1,2.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,block,CHAT,1,3.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,block,CHAT,1,3.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,block,CHAT,1,3.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,block,CHAT,1,3.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,block,CHAT,1,3.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,block,CHAT,1,3.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,block,CHAT,1,3.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,block,CHAT,1,3.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,block,CHAT,1,3.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,block,CHAT,1,3.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,block,CHAT,1,4.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,block,CHAT,1,4.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,1.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,2.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,2.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,2.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,2.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,2.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,2.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,2.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,2.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,2.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,2.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,2.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,2.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,2.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,2.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,2.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,2.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,2.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,2.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,2.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,2.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,3.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,3.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,3.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,3.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,3.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,3.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,3.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,3.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,3.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,CHVI,1,3.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,sand,shrimp_goby,1,5.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,DAAR,1,3.0,,,,,,,,,,1.0,,,,
JC,2.0,1.0,2019-12-09,3,15,resident,coral,DAFL,1,2.0,,,,,,,,,,1.0,,,,
